district_no,district_name,district_name_french,party_affiliation,party_affiliation_french,last_name,first_name,middle_initial,votes_for
10001,Avalon,Avalon,No Affiliation,Aucune appartenance,Andrews,Scott,,
10001,Avalon,Avalon,New Democratic Party,Nouveau Parti démocratique,Baldwin,Jeannie,,
10001,Avalon,Avalon,Conservative Party of Canada,Parti conservateur du Canada,Barnett,Lorraine E.,,
10001,Avalon,Avalon,Green Party of Canada,Le Parti Vert du Canada,Byrne-Puumala,Krista,,
10001,Avalon,Avalon,Forces et Démocratie,Forces et Démocratie,McCreath,Jennifer,,
10001,Avalon,Avalon,Liberal Party of Canada,Parti libéral du Canada,McDonald,Ken,,
10002,Bonavista--Burin--Trinity,Bonavista--Burin--Trinity,New Democratic Party,Nouveau Parti démocratique,Brown,Jenn,,
10002,Bonavista--Burin--Trinity,Bonavista--Burin--Trinity,Green Party of Canada,Le Parti Vert du Canada,Colbourne,Tyler John,,
10002,Bonavista--Burin--Trinity,Bonavista--Burin--Trinity,Liberal Party of Canada,Parti libéral du Canada,Foote,Judy M.,,
10002,Bonavista--Burin--Trinity,Bonavista--Burin--Trinity,Conservative Party of Canada,Parti conservateur du Canada,Windsor,Mike,,
10003,Coast of Bays--Central--Notre Dame,Coast of Bays--Central--Notre Dame,New Democratic Party,Nouveau Parti démocratique,Menchenton,Claudette,,
10003,Coast of Bays--Central--Notre Dame,Coast of Bays--Central--Notre Dame,Conservative Party of Canada,Parti conservateur du Canada,O'Brien,Kevin George,,
10003,Coast of Bays--Central--Notre Dame,Coast of Bays--Central--Notre Dame,Green Party of Canada,Le Parti Vert du Canada,Perry,Elizabeth,,
10003,Coast of Bays--Central--Notre Dame,Coast of Bays--Central--Notre Dame,Liberal Party of Canada,Parti libéral du Canada,Simms,Scott,,
10004,Labrador,Labrador,Liberal Party of Canada,Parti libéral du Canada,Jones,Yvonne,,
10004,Labrador,Labrador,Conservative Party of Canada,Parti conservateur du Canada,Penashue,Peter,,
10004,Labrador,Labrador,New Democratic Party,Nouveau Parti démocratique,Rudkowski,Edward,,
10005,Long Range Mountains,Long Range Mountains,New Democratic Party,Nouveau Parti démocratique,Babstock,Devon,,
10005,Long Range Mountains,Long Range Mountains,Green Party of Canada,Le Parti Vert du Canada,Cormier,Terry,,
10005,Long Range Mountains,Long Range Mountains,Liberal Party of Canada,Parti libéral du Canada,Hutchings,Gudie,,
10005,Long Range Mountains,Long Range Mountains,Conservative Party of Canada,Parti conservateur du Canada,Ruth,Wayne,,
10006,St. John's East,St. John's-Est,Communist Party of Canada,Parti communiste du Canada,Burton,Sean,,
10006,St. John's East,St. John's-Est,New Democratic Party,Nouveau Parti démocratique,Harris,Jack,,
10006,St. John's East,St. John's-Est,Green Party of Canada,Le Parti Vert du Canada,Peters,David Anthony,,
10006,St. John's East,St. John's-Est,Conservative Party of Canada,Parti conservateur du Canada,Stapleton,Deanne,,
10006,St. John's East,St. John's-Est,Liberal Party of Canada,Parti libéral du Canada,Whalen,Nick,,
10007,St. John's South--Mount Pearl,St. John's-Sud--Mount Pearl,New Democratic Party,Nouveau Parti démocratique,Cleary,Ryan,,
10007,St. John's South--Mount Pearl,St. John's-Sud--Mount Pearl,Conservative Party of Canada,Parti conservateur du Canada,Krol,Marek,,
10007,St. John's South--Mount Pearl,St. John's-Sud--Mount Pearl,Green Party of Canada,Le Parti Vert du Canada,McLean,Jackson,,
10007,St. John's South--Mount Pearl,St. John's-Sud--Mount Pearl,Liberal Party of Canada,Parti libéral du Canada,O'Regan,Seamus,,
11001,Cardigan,Cardigan,New Democratic Party,Nouveau Parti démocratique,Cann,Billy,,
11001,Cardigan,Cardigan,Green Party of Canada,Le Parti Vert du Canada,Doyle,Teresa,,
11001,Cardigan,Cardigan,Liberal Party of Canada,Parti libéral du Canada,MacAulay,Lawrence,,
11001,Cardigan,Cardigan,Conservative Party of Canada,Parti conservateur du Canada,Patkai,Julius,,
11001,Cardigan,Cardigan,Christian Heritage Party of Canada,Parti de l'Héritage Chrétien du Canada,Squires,Christene,,
11002,Charlottetown,Charlottetown,New Democratic Party,Nouveau Parti démocratique,Byrne,Joe,,
11002,Charlottetown,Charlottetown,Liberal Party of Canada,Parti libéral du Canada,Casey,Sean,,
11002,Charlottetown,Charlottetown,Conservative Party of Canada,Parti conservateur du Canada,MacMillan,Ron,,
11002,Charlottetown,Charlottetown,Green Party of Canada,Le Parti Vert du Canada,Viau,Becka,,
11003,Egmont,Egmont,New Democratic Party,Nouveau Parti démocratique,Dickieson,Herb,,
11003,Egmont,Egmont,Green Party of Canada,Le Parti Vert du Canada,Ling,Nils,,
11003,Egmont,Egmont,Liberal Party of Canada,Parti libéral du Canada,Morrissey,Bobby,,
11003,Egmont,Egmont,Conservative Party of Canada,Parti conservateur du Canada,Shea,Gail,,
11004,Malpeque,Malpeque,Liberal Party of Canada,Parti libéral du Canada,Easter,Wayne,,
11004,Malpeque,Malpeque,New Democratic Party,Nouveau Parti démocratique,Hayward,Leah-Jane,,
11004,Malpeque,Malpeque,Green Party of Canada,Le Parti Vert du Canada,Lund,Lynne,,
11004,Malpeque,Malpeque,Conservative Party of Canada,Parti conservateur du Canada,Stewart,Stephen,,
12001,Cape Breton--Canso,Cape Breton--Canso,Green Party of Canada,Le Parti Vert du Canada,Coady,Maria Goretti,,
12001,Cape Breton--Canso,Cape Breton--Canso,Liberal Party of Canada,Parti libéral du Canada,Cuzner,Rodger,,
12001,Cape Breton--Canso,Cape Breton--Canso,Conservative Party of Canada,Parti conservateur du Canada,Rodgers,Adam Daniel,,
12001,Cape Breton--Canso,Cape Breton--Canso,New Democratic Party,Nouveau Parti démocratique,Smith,Michelle,,
12002,Central Nova,Nova-Centre,Conservative Party of Canada,Parti conservateur du Canada,DeLorey,Fred,,
12002,Central Nova,Nova-Centre,Liberal Party of Canada,Parti libéral du Canada,Fraser,Sean,,
12002,Central Nova,Nova-Centre,Green Party of Canada,Le Parti Vert du Canada,Hachey,David,,
12002,Central Nova,Nova-Centre,New Democratic Party,Nouveau Parti démocratique,Landry,Ross,,
12002,Central Nova,Nova-Centre,Independent,Indépendant,MacKenzie,Alexander J.,,
12003,Cumberland--Colchester,Cumberland--Colchester,Conservative Party of Canada,Parti conservateur du Canada,Armstrong,Scott,,
12003,Cumberland--Colchester,Cumberland--Colchester,Green Party of Canada,Le Parti Vert du Canada,Blanch,Jason Matthew,,
12003,Cumberland--Colchester,Cumberland--Colchester,Liberal Party of Canada,Parti libéral du Canada,Casey,Bill,,
12003,Cumberland--Colchester,Cumberland--Colchester,Independent,Indépendant,Jackson,Kenneth,,
12003,Cumberland--Colchester,Cumberland--Colchester,Independent,Indépendant,Plett,Richard Trueman,,
12003,Cumberland--Colchester,Cumberland--Colchester,New Democratic Party,Nouveau Parti démocratique,Robinson,Wendy,,
12004,Dartmouth--Cole Harbour,Dartmouth--Cole Harbour,New Democratic Party,Nouveau Parti démocratique,Chisholm,Robert,,
12004,Dartmouth--Cole Harbour,Dartmouth--Cole Harbour,Conservative Party of Canada,Parti conservateur du Canada,Cole,Jason,,
12004,Dartmouth--Cole Harbour,Dartmouth--Cole Harbour,Liberal Party of Canada,Parti libéral du Canada,Fisher,Darren,,
12004,Dartmouth--Cole Harbour,Dartmouth--Cole Harbour,Green Party of Canada,Le Parti Vert du Canada,Nheiley,Brynn,,
12005,Halifax,Halifax,Marxist-Leninist Party of Canada,Parti Marxiste-Léniniste du Canada,Bezanson,Allan,,
12005,Halifax,Halifax,Conservative Party of Canada,Parti conservateur du Canada,Carvery,Irvine,,
12005,Halifax,Halifax,Liberal Party of Canada,Parti libéral du Canada,Fillmore,Andy,,
12005,Halifax,Halifax,New Democratic Party,Nouveau Parti démocratique,Leslie,Megan,,
12005,Halifax,Halifax,Green Party of Canada,Le Parti Vert du Canada,Trappenberg,Thomas,,
12006,Halifax West,Halifax-Ouest,New Democratic Party,Nouveau Parti démocratique,Hussey,Joanne,,
12006,Halifax West,Halifax-Ouest,Conservative Party of Canada,Parti conservateur du Canada,McGinnis,Michael,,
12006,Halifax West,Halifax-Ouest,Liberal Party of Canada,Parti libéral du Canada,Regan,Geoff,,
12006,Halifax West,Halifax-Ouest,Green Party of Canada,Le Parti Vert du Canada,Zurawski,Richard Henryk,,
12007,Kings--Hants,Kings--Hants,Liberal Party of Canada,Parti libéral du Canada,Brison,Scott,,
12007,Kings--Hants,Kings--Hants,Rhinoceros Party,Parti Rhinocéros,Brown-Hodges,Megan,,
12007,Kings--Hants,Kings--Hants,Green Party of Canada,Le Parti Vert du Canada,Cooper,Will,,
12007,Kings--Hants,Kings--Hants,New Democratic Party,Nouveau Parti démocratique,Curry,Hugh,,
12007,Kings--Hants,Kings--Hants,Conservative Party of Canada,Parti conservateur du Canada,Morse,David,,
12007,Kings--Hants,Kings--Hants,Independent,Indépendant,Twohig,Edd,,
12007,Kings--Hants,Kings--Hants,Independent,Indépendant,Williams,Clifford James,,
12008,Sackville--Preston--Chezzetcook,Sackville--Preston--Chezzetcook,Green Party of Canada,Le Parti Vert du Canada,Montgomery,Mike,,
12008,Sackville--Preston--Chezzetcook,Sackville--Preston--Chezzetcook,Liberal Party of Canada,Parti libéral du Canada,Samson,Darrell,,
12008,Sackville--Preston--Chezzetcook,Sackville--Preston--Chezzetcook,New Democratic Party,Nouveau Parti démocratique,Stoffer,Peter,,
12008,Sackville--Preston--Chezzetcook,Sackville--Preston--Chezzetcook,Conservative Party of Canada,Parti conservateur du Canada,Strickland,Robert Thomas,,
12009,South Shore--St. Margarets,South Shore--St. Margarets,Communist Party of Canada,Parti communiste du Canada,Barry,Ryan,,
12009,South Shore--St. Margarets,South Shore--St. Margarets,Green Party of Canada,Le Parti Vert du Canada,Biggar,Richard,,
12009,South Shore--St. Margarets,South Shore--St. Margarets,Independent,Indépendant,Bruhm,Trevor,,
12009,South Shore--St. Margarets,South Shore--St. Margarets,Conservative Party of Canada,Parti conservateur du Canada,Clark,Richard,,
12009,South Shore--St. Margarets,South Shore--St. Margarets,New Democratic Party,Nouveau Parti démocratique,Godbold,Alex,,
12009,South Shore--St. Margarets,South Shore--St. Margarets,Liberal Party of Canada,Parti libéral du Canada,Jordan,Bernadette,,
12010,Sydney--Victoria,Sydney--Victoria,Conservative Party of Canada,Parti conservateur du Canada,Chiasson,John Douglas,,
12010,Sydney--Victoria,Sydney--Victoria,New Democratic Party,Nouveau Parti démocratique,Dutt,Monika,,
12010,Sydney--Victoria,Sydney--Victoria,Liberal Party of Canada,Parti libéral du Canada,Eyking,Mark,,
12010,Sydney--Victoria,Sydney--Victoria,Libertarian Party of Canada,Parti Libertarien du Canada,Hiscock,Wayne James,,
12010,Sydney--Victoria,Sydney--Victoria,Green Party of Canada,Le Parti Vert du Canada,MacKinnon,Adrianna,,
12011,West Nova,Nova-Ouest,New Democratic Party,Nouveau Parti démocratique,Foster,Greg,,
12011,West Nova,Nova-Ouest,Liberal Party of Canada,Parti libéral du Canada,Fraser,Colin,,
12011,West Nova,Nova-Ouest,Conservative Party of Canada,Parti conservateur du Canada,LeBlanc,Arnold,,
12011,West Nova,Nova-Ouest,Green Party of Canada,Le Parti Vert du Canada,Walton,Clark,,
13001,Acadie--Bathurst,Acadie--Bathurst,Green Party of Canada,Le Parti Vert du Canada,Breau,Dominique,,
13001,Acadie--Bathurst,Acadie--Bathurst,Liberal Party of Canada,Parti libéral du Canada,Cormier,Serge,,
13001,Acadie--Bathurst,Acadie--Bathurst,Conservative Party of Canada,Parti conservateur du Canada,Girouard-Riordon,Riba,,
13001,Acadie--Bathurst,Acadie--Bathurst,New Democratic Party,Nouveau Parti démocratique,Godin,Jason,,
13002,Beauséjour,Beauséjour,Conservative Party of Canada,Parti conservateur du Canada,Bastarache,Ann,,
13002,Beauséjour,Beauséjour,New Democratic Party,Nouveau Parti démocratique,Boudreau,Hélène,,
13002,Beauséjour,Beauséjour,Green Party of Canada,Le Parti Vert du Canada,King,Kevin,,
13002,Beauséjour,Beauséjour,Liberal Party of Canada,Parti libéral du Canada,LeBlanc,Dominic,,
13003,Fredericton,Fredericton,Conservative Party of Canada,Parti conservateur du Canada,Ashfield,Keith,,
13003,Fredericton,Fredericton,Green Party of Canada,Le Parti Vert du Canada,Babineau,Mary Lou,,
13003,Fredericton,Fredericton,Liberal Party of Canada,Parti libéral du Canada,DECourcey,Matt,,
13003,Fredericton,Fredericton,New Democratic Party,Nouveau Parti démocratique,Scott-Levesque,Sharon,,
13004,Fundy Royal,Fundy Royal,Independent,Indépendant,Amos,David Raymond,,
13004,Fundy Royal,Fundy Royal,Green Party of Canada,Le Parti Vert du Canada,Coburn,Stephanie,,
13004,Fundy Royal,Fundy Royal,Liberal Party of Canada,Parti libéral du Canada,Lockhart,Alaina,,
13004,Fundy Royal,Fundy Royal,New Democratic Party,Nouveau Parti démocratique,McKenzie,Jennifer,,
13004,Fundy Royal,Fundy Royal,Conservative Party of Canada,Parti conservateur du Canada,Moore,Rob,,
13005,Madawaska--Restigouche,Madawaska--Restigouche,Liberal Party of Canada,Parti libéral du Canada,Arseneault,René,,
13005,Madawaska--Restigouche,Madawaska--Restigouche,Green Party of Canada,Le Parti Vert du Canada,Aubin,Françoise,,
13005,Madawaska--Restigouche,Madawaska--Restigouche,New Democratic Party,Nouveau Parti démocratique,L'Italien,Rosaire,,
13005,Madawaska--Restigouche,Madawaska--Restigouche,Conservative Party of Canada,Parti conservateur du Canada,Valcourt,Bernard,,
